SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
BRNL, EQ, 28-Sep-2020, 30.10, 30.70, 30.95, 30.05, 30.30, 30.45, 30.53, 23794, 7.26, 338, 11583, 48.68
BROOKS, EQ, 28-Sep-2020, 62.25, 65.35, 65.35, 65.35, 65.35, 65.35, 65.35, 40139, 26.23, 128, 25562, 63.68
BSE, EQ, 28-Sep-2020, 537.90, 542.00, 558.00, 537.95, 548.90, 549.20, 549.45, 500796, 2751.64, 14672, 115503, 23.06
BSELINFRA, EQ, 28-Sep-2020, 1.05, 1.10, 1.10, 1.05, 1.10, 1.05, 1.08, 134060, 1.45, 116, 81746, 60.98
BSHSL, SM, 28-Sep-2020, 94.00, 95.40, 95.40, 95.40, 95.40, 95.40, 95.40, 1600, 1.53, 1, 1600, 100.00
BSL, EQ, 28-Sep-2020, 25.00, 25.00, 25.35, 24.05, 24.95, 24.70, 24.87, 8578, 2.13, 227, 3363, 39.20
BSLGOLDETF, EQ, 28-Sep-2020, 4593.50, 4600.00, 4600.00, 4514.10, 4516.00, 4541.20, 4561.68, 312, 14.23, 123, 196, 62.82
BSLNIFTY, EQ, 28-Sep-2020, 120.78, 123.00, 125.90, 121.97, 123.08, 123.08, 122.73, 116, 0.14, 17, 88, 75.86
BSOFT, EQ, 28-Sep-2020, 190.85, 194.75, 199.45, 192.10, 196.00, 198.35, 196.36, 1571226, 3085.33, 18775, 513684, 32.69
BURNPUR, EQ, 28-Sep-2020, 1.35, 1.30, 1.40, 1.30, 1.40, 1.40, 1.39, 23723, 0.33, 58, 23466, 98.92
BYKE, EQ, 28-Sep-2020, 13.35, 13.50, 14.40, 13.45, 13.90, 13.75, 13.65, 25682, 3.51, 199, 19100, 74.37
